id,c_holder,c_cates,c_author,c_lang,record_type,status,number_of_pages,url
4369,"London ,British Library, Add MS 32276 f 44. BL_Add_MS_32276_044",1751 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4369
4368,"London ,British Library, Add MS 32276 f 42. BL_Add_MS_32276_042",1745 - 1746,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4368
4367,"London ,British Library, Add MS 32276 f 40. BL_Add_MS_32276_040",1745 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4367
4366,"London ,British Library, Add MS 32276 f 37. BL_Add_MS_32276_037",1744 -,Western manuscripts Prufsia,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4366
4365,"Stockholm ,National Library of Sweden National Library of Sweden codebook",1818 - 1821,,Cleartext: French Plaintext: French,Key,N/A,56,https://de-crypt.org/decrypt-web/RecordsView/4365
4364,"London ,British Library, Add MS 32276 f 34. BL_Add_MS_32276_034",1724 - 1844,Western manuscripts Prufsia,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4364
4363,"London ,British Library, Add MS 32276 f 36. BL_Add_MS_32276_036",1724 - 1844,Western manuscripts,Cleartext: Plaintext: German?,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4363
4362,"London ,British Library, Add MS 32276 f 32. BL_Add_MS_32276_032",1743 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4362
4361,"London ,British Library, Add MS 32276 f 30. BL_Add_MS_32276_030",1743 -,Western manuscripts Germany?,Cleartext: Plaintext:,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4361
4360,"London ,British Library, Add MS 32276 f 28. BL_Add_MS_32276_028",1739 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4360
4359,"London ,British Library, Add MS 32276 f 26. BL_Add_MS_32276_026",1735 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4359
4358,"London ,British Library, Add MS 32276 f 24. BL_Add_MS_32276_024",1733 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4358
4357,"London ,British Library, Add MS 32276 f 22. BL_Add_MS_32276_022",1732 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4357
4356,"London ,British Library, Add MS 32276 f 20. BL_Add_MS_32276_020",1732 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4356
4355,"London ,British Library, Add MS 32276 f 18. BL_Add_MS_32276_018",1732 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4355
4354,"London ,British Library, Add MS 32276 f 16. BL_Add_MS_32276_016",1732 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4354
4353,"London ,British Library, Add MS 32276 f 14. BL_Add_MS_32276_014",1731 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4353
4352,"London ,British Library, Add MS 32276 f 12. BL_Add_MS_32276_012",1730 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4352
4351,"London ,British Library, Add MS 32276 f 10. BL_Add_MS_32276_010",1724 - 1844,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,2,https://de-crypt.org/decrypt-web/RecordsView/4351
4350,"Stockholm ,National Library of Sweden National Library of Sweden Baron von Görtz",1717 - 1721,"Murberg, Johan, Görtz, Georg Heinrich von",Cleartext: Plaintext:,Cipher,Non-decrypted,4,https://de-crypt.org/decrypt-web/RecordsView/4350
4349,"Uppsala ,Carolina Rediviva Carolina-Rediviva-Uppsala-C513-Sequentiarium",-,"Strängnäs, Sweden",Cleartext: Plaintext:,Cipher,Non-decrypted,1,https://de-crypt.org/decrypt-web/RecordsView/4349
4348,"London ,British Library, Add MS 32276 f 9. BL_Add_MS_32276_009",1730 -,Western manuscripts,Cleartext: Plaintext: ...,Key,N/A,1,https://de-crypt.org/decrypt-web/RecordsView/4348
