table	code	root	start_line	start_digit	end_line	end_digit	grade	qualification
B	74	bo	V3	23	V3	24	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31238	t	V3	25	V3	29	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31162	schaff	V3	30	V3	34	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31300	te/ten/ter	V3	35	V3	39	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	8		V3	40	V3	40	H	1752 Nota, items 2 and 4 (R1696 I7480 P1): 8 is the errans (null) among two-digit numbers
B	31264	fa	V3	41	V3	45	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31377	st	V3	46	V3	50	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31448	zu	V3	51	V3	55	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31218	gl	V3	56	V3	60	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31299	ei	V3	61	V3	65	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	02	ch	V3	66	V3	67	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31014	zeit	V3	68	V3	72	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31010	ge/gn/gen	V3	73	V3	77	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31403	mach	V3	78	V3	82	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	63	genau	V3	83	V4	1	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31218	gl	V4	2	V4	6	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31299	ei	V4	7	V4	11	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31286	ch	V4	12	V4	16	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31006	fo	V4	17	V4	21	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31334	r	V4	22	V4	26	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31031	mi	V4	27	V4	31	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31126	gn/gen	V4	32	V4	36	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31075	aus	V4	37	V4	41	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
B	31225	ser	V4	42	V4	46	H	1752 Clavis Secunda, numeric (R1698 I7486 P3)
